#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
96067	853397	851379	33705	31891	YJL050W	YDL175C	MTR4	AIR2	DOB1|ATP-dependent RNA helicase MTR4|L000004110	-	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	Q12476	-	NP_010106	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96068	853397	853397	33705	33705	YJL050W	YJL050W	MTR4	MTR4	DOB1|ATP-dependent RNA helicase MTR4|L000004110	DOB1|ATP-dependent RNA helicase MTR4|L000004110	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P47047	-	NP_012485	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96069	853397	854034	33705	34285	YJL050W	YOL115W	MTR4	PAP2	DOB1|ATP-dependent RNA helicase MTR4|L000004110	TRF4|non-canonical poly(A) polymerase PAP2|L000002953	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P53632	-	NP_014526	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96070	854162	853397	34404	33705	YOR001W	YJL050W	RRP6	MTR4	exosome nuclease subunit RRP6|L000003540	DOB1|ATP-dependent RNA helicase MTR4|L000004110	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12149	-	NP_014643	P47047	-	NP_012485	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96137	853397	854379	33705	34599	YJL050W	YOR204W	MTR4	DED1	DOB1|ATP-dependent RNA helicase MTR4|L000004110	SPP81|DEAD-box ATP-dependent RNA helicase DED1|L000000500	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P06634	-	NP_014847	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96147	853397	856912	33705	36918	YJL050W	YER165W	MTR4	PAB1	DOB1|ATP-dependent RNA helicase MTR4|L000004110	polyadenylate-binding protein|L000001327	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P04147	-	NP_011092	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96691	853397	851152	33705	31691	YJL050W	YLR432W	MTR4	IMD3	DOB1|ATP-dependent RNA helicase MTR4|L000004110	IMP dehydrogenase IMD3	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P50095	-	NP_013536	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98079	853397	852680	33705	33062	YJL050W	YGL195W	MTR4	GCN1	DOB1|ATP-dependent RNA helicase MTR4|L000004110	AAS103|NDR1|L000000680	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P33892	-	NP_011320	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98080	853397	855911	33705	35993	YJL050W	YPL190C	MTR4	NAB3	DOB1|ATP-dependent RNA helicase MTR4|L000004110	HMD1|L000001228	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47047	-	NP_012485	P38996	-	NP_015134	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99745	855350	853397	35484	33705	YMR304W	YJL050W	UBP15	MTR4	L000004589	DOB1|ATP-dependent RNA helicase MTR4|L000004110	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P50101	-	NP_014033	P47047	-	NP_012485	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
