"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RNaseA","RNaseA","RNaseA",12,12,12,82,16.461,150,28.530439915536,30.2089722173931,29.0095058263733,29.5643638830309,34.3771654469538,35.061294309779,34.1576043839728,34.8664572846814,36.0962594840015,36.5044463983527,35.7748762663645,36.0379883781611,28.530439915536,30.2089722173931,29.0095058263733,29.5643638830309,34.3771654469538,35.061294309779,34.1576043839728,34.8664572846814,36.0962594840015,36.5044463983527,35.7748762663645,36.0379883781611,29.3283204605833,34.6156303563467,36.1033926317199,4,4,4,7.07882180331914e-05,0.00166577194415562,4.15003902012054,2.77838445681539,-5.28730989576341,-1.4877622753732,FALSE,FALSE
"EFB1","YAL003W","EFB1",9,9,9,63.1,22.627,206,24.2019480018814,24.26678025103,25.0853333796924,25.2466637746994,25.631925052658,25.7869603409319,27.8924972366359,26.8683242745438,26.1133668498484,25.7991685586696,27.2207575127238,26.3275224925976,24.2019480018814,24.26678025103,25.0853333796924,25.2466637746994,25.631925052658,25.7869603409319,27.8924972366359,26.8683242745438,26.1133668498484,25.7991685586696,27.2207575127238,26.3275224925976,24.7001813518258,26.5449267261924,26.3652038534598,4,4,4,0.0305859619696914,0.780107152025197,1.51447785580509,0.107845740467,-1.84474537436663,0.179722872732576,FALSE,FALSE
"SSA1","YAL005C","SSA1",22,7,7,51.9,69.656,642,27.1586549861988,27.2737321526135,27.0327563845839,27.1028955095575,26.2727893716005,26.9313431306112,26.8164106631236,26.834727380444,27.0778572064992,27.1527689868298,27.0044246848619,27.1050958074467,27.1586549861988,27.2737321526135,27.0327563845839,27.1028955095575,26.2727893716005,26.9313431306112,26.8164106631236,26.834727380444,27.0778572064992,27.1527689868298,27.0044246848619,27.1050958074467,27.1420097582384,26.7138176364448,27.0850366714094,4,4,4,0.0580192448885061,0.0859796884926364,1.23642792777205,1.06560413267998,0.42819212179359,-0.371219034964568,FALSE,FALSE
"CYS3","YAL012W","CYS3",5,5,5,19.8,42.542,394,NA,NA,NA,NA,NA,NA,25.2861617764934,24.4571363582255,23.8465157198038,23.6703364061244,24.7153918751753,23.4562591494874,21.9788193718677,21.8268384509057,21.974915378753,21.793486135532,21.912673603981,21.6951450455652,25.2861617764934,24.4571363582255,23.8465157198038,23.6703364061244,24.7153918751753,23.4562591494874,21.8935148342646,23.3377791960663,23.9221257876477,0,2,4,0.207893472883557,0.573331726947661,0.682159145758253,0.241594024635504,-1.44426436180169,-0.584346591581436,FALSE,FALSE
"TPD3","YAL016W","TPD3",2,2,2,3.3,70.907,635,22.7602610743475,22.9858092850322,22.8209252897134,22.8041018661743,22.7910412361761,22.7500715002498,NA,NA,NA,NA,NA,NA,22.7602610743475,22.9858092850322,22.8209252897134,22.8041018661743,22.7910412361761,22.7500715002498,21.0611701648798,21.0580617504284,21.3723499166124,21.7753962530872,21.4252577491275,21.2743969927943,22.8427743788168,21.9150861629335,21.4618502279054,4,2,0,0.156654743275005,0.430938896713718,0.805056450785635,0.365584304552288,0.927688215883293,0.453235935028179,FALSE,FALSE
"FUN30","YAL019W","FUN30",4,4,4,4.4,128.51,1131,NA,NA,22.5249462455752,22.7007055523673,NA,NA,22.3644478246493,NA,NA,22.1244886347998,NA,NA,22.2234614517939,21.739352392151,22.5249462455752,22.7007055523673,21.9310711570421,21.8773207025857,22.3644478246493,20.8632138890954,20.8723258051015,22.1244886347998,20.847920226229,21.4773897189051,22.2971164104718,21.7590133933431,21.3305310962589,2,1,1,0.214969337385678,0.366326045500587,0.66762348219545,0.43613220223347,0.53810301712873,0.428482297084241,FALSE,NA
"FUN12","YAL035W","FUN12",15,15,15,19.4,112.27,1002,26.915816116319,26.7761801906945,26.7685025806453,26.8503125706765,26.6998852453732,27.3595099018337,26.5644183994419,27.0015284597839,26.6458140869903,26.3597277139102,26.5114727802223,26.6931198017687,26.915816116319,26.7761801906945,26.7685025806453,26.8503125706765,26.6998852453732,27.3595099018337,26.5644183994419,27.0015284597839,26.6458140869903,26.3597277139102,26.5114727802223,26.6931198017687,26.8277028645838,26.9063355016082,26.5525335957229,4,4,4,0.689633582395974,0.137975174926289,0.161381598264916,0.860199046659517,-0.0786326370243771,0.353801905885323,FALSE,FALSE
"RBG1","YAL036C","RBG1",6,6,6,19.2,40.701,369,26.0090679486218,25.6818266844838,26.0444980139849,25.9568631922182,NA,NA,22.6856864288762,23.0538768415354,NA,NA,NA,NA,26.0090679486218,25.6818266844838,26.0444980139849,25.9568631922182,21.954566111026,21.9560545956555,22.6856864288762,23.0538768415354,20.6895147657458,22.2293230005612,21.2060591852904,21.5898355314616,25.9230639598272,22.4125459942733,21.4286831207648,4,2,0,0.000506482660441894,0.06101096561425,3.29543541822731,1.21459210141932,3.51051796555387,0.98386287350851,TRUE,FALSE
"CDC19","YAL038W","CDC19",16,16,16,44.8,54.544,500,30.0019578972156,30.1494051290178,29.6853703021637,29.9370527717072,29.3593213840677,29.8191852241039,31.2639408493805,30.4775948365228,29.8917443096017,29.729732519438,30.6304468351611,29.6321816778916,30.0019578972156,30.1494051290178,29.6853703021637,29.9370527717072,29.3593213840677,29.8191852241039,31.2639408493805,30.4775948365228,29.8917443096017,29.729732519438,30.6304468351611,29.6321816778916,29.9434465250261,30.2300105735188,29.9710263355231,4,4,4,0.544235796316944,0.608405239956447,0.264212896529713,0.215807054194367,-0.286564048492693,0.258984237995662,FALSE,FALSE
"ADE1","YAR015W","ADE1",3,3,3,11.1,34.603,306,NA,NA,NA,NA,NA,NA,23.3247101538168,22.3479759782877,NA,NA,22.7177466981229,NA,21.8819948499578,22.225679230584,21.7860124235131,21.9134067179448,21.9489040907858,21.7480784108338,23.3247101538168,22.3479759782877,21.2617171488095,22.2056736652557,22.7177466981229,21.5958058183651,21.9517733054999,22.342417158431,21.9452358326383,0,2,1,0.351540588078062,0.436839925558849,0.45402452509452,0.359677675574633,-0.390643852931142,0.397181325792715,FALSE,FALSE
