#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
112077	851965	856476	32418	36511	YDR363W	YHR077C	ESC2	NMD2	L000004423	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Synthetic Lethality	genetic	Tong AH (2004)	PUBMED:14764870	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06340	-	NP_010650	P38798	-	NP_011944	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138590	856476	851752	36511	32225	YHR077C	YDR172W	NMD2	SUP35	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Affinity Capture-Western	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140674	856476	851752	36511	32225	YHR077C	YDR172W	NMD2	SUP35	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Reconstituted Complex	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142038	856476	855104	36511	35256	YHR077C	YMR080C	NMD2	NAM7	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142039	855104	856476	35256	36511	YMR080C	YHR077C	NAM7	NMD2	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P38798	-	NP_011944	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142040	856476	855104	36511	35256	YHR077C	YMR080C	NMD2	NAM7	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Two-hybrid	physical	He F (1996)	PUBMED:8601282	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142041	855104	856476	35256	36511	YMR080C	YHR077C	NAM7	NMD2	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Two-hybrid	physical	He F (1996)	PUBMED:8601282	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P38798	-	NP_011944	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142042	856476	855104	36511	35256	YHR077C	YMR080C	NMD2	NAM7	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Two-hybrid	physical	He F (1995)	PUBMED:7883168	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142043	855104	856476	35256	36511	YMR080C	YHR077C	NAM7	NMD2	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Two-hybrid	physical	He F (1995)	PUBMED:7883168	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P38798	-	NP_011944	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142044	856476	852963	36511	33315	YHR077C	YGR072W	NMD2	UPF3	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	SUA6|SUP112|L000003057|S000029549|L000002231	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P48412	-	NP_011586	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
