#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
102930	854821	856766	34996	36779	YIR005W	YER043C	IST3	SAH1	SNU17	adenosylhomocysteinase|L000002989	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P39954	-	NP_010961	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102931	854821	851733	34996	32207	YIR005W	YDR155C	IST3	CPR1	SNU17	CPH1|CYP1|peptidylprolyl isomerase CPR1|L000002663	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P14832	-	NP_010439	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102932	854821	852701	34996	33079	YIR005W	YGL174W	IST3	BUD13	SNU17	CWC26	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P46947	-	NP_011341	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102933	854821	855131	34996	35280	YIR005W	YMR105C	IST3	PGM2	SNU17	GAL5|phosphoglucomutase PGM2|L000001413	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P37012	-	NP_013823	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102934	854821	856412	34996	36448	YIR005W	YHR019C	IST3	DED81	SNU17	asparagine--tRNA ligase DED81|L000002734	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P38707	-	NP_011883	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102935	854821	851942	34996	32398	YIR005W	YDR341C	IST3	YDR341C	SNU17	RRS1|arginine--tRNA ligase|ArgRS	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	Q05506	-	NP_010628	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102936	854821	856461	34996	36496	YIR005W	YHR064C	IST3	SSZ1	SNU17	PDR13|L000004029	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P38788	-	NP_011931	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102937	854821	851158	34996	31696	YIR005W	YLR438W	IST3	CAR2	SNU17	ornithine-oxo-acid transaminase|cargB|L000000217	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P07991	-	NP_013542	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
109847	851136	854821	31676	34996	YLR418C	YIR005W	CDC73	IST3	L000002792	SNU17	Synthetic Lethality	genetic	Tong AH (2004)	PUBMED:14764870	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06697	-	NP_013522	P40565	-	NP_012270	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
114027	854821	856891	34996	36897	YIR005W	YER148W	IST3	SPT15	SNU17	BTF1|TBP1|TATA-binding protein|TBP|L000002037	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	P13393	-	NP_011075	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
