#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
98901	850590	855611	31187	35713	YFR031C-A	YNL112W	RPL2A	DBP2	RPL5B|ribosomal 60S subunit protein L2A|L2|rp8|YL6|L5A|L2A|L000003147	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P0CX46|P0CX45	-	NP_116688	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99138	851332	855611	31850	35713	YDL195W	YNL112W	SEC31	DBP2	WEB1|L000002484	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38968	-	NP_010086	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99857	852248	855611	32665	35713	YBL032W	YNL112W	HEK2	DBP2	KHD1	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38199	-	NP_009521	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103843	854776	855611	34955	35713	YIL035C	YNL112W	CKA1	DBP2	casein kinase 2 catalytic subunit CKA1|L000000343	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P15790	-	NP_012229	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134461	854221	855611	34454	35713	YOR056C	YNL112W	NOB1	DBP2	YOR29-07	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Schaefer T (2003)	PUBMED:12628929	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q08444	-	NP_014699	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134509	856012	855611	36088	35713	YPL093W	YNL112W	NOG1	DBP2	-	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Saveanu C (2003)	PUBMED:12808088	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02892	-	NP_015232	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134688	856449	855611	36484	35713	YHR052W	YNL112W	CIC1	DBP2	NSA3	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-MS	physical	Nissan TA (2002)	PUBMED:12374754	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38779	-	NP_011919	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142060	852042	855611	32489	35713	YDR432W	YNL112W	NPL3	DBP2	MTR13|MTS1|NAB1|NOP3|mRNA-binding protein NPL3|L000001270	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Two-hybrid	physical	Inoue K (2000)	PUBMED:10896665	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q01560	-	NP_010720	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
143068	855104	855611	35256	35713	YMR080C	YNL112W	NAM7	DBP2	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Two-hybrid	physical	Bond AT (2001)	PUBMED:11585918	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145516	855728	855611	35821	35713	YNL004W	YNL112W	HRB1	DBP2	TOM34|L000002318	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
