#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
98301	852786	853843	33157	34106	YGL094C	YKL025C	PAN2	PAN3	L000003115	ECM35|L000003340	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53010	-	NP_011421	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
111459	856715	853843	36728	34106	YEL003W	YKL025C	GIM4	PAN3	PFD2|L000004368	ECM35|L000003340	Synthetic Lethality	genetic	Tong AH (2004)	PUBMED:14764870	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40005	-	NP_010913	P36102	-	NP_012900	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141397	851457	853843	31961	34106	YDL101C	YKL025C	DUN1	PAN3	serine/threonine protein kinase DUN1|L000000531	ECM35|L000003340	Two-hybrid	physical	Hammet A (2002)	PUBMED:11953437	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P39009	-	NP_010182	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145978	856547	853843	36577	34106	YHR143W-A	YKL025C	RPC10	PAN3	RPB12|DNA-directed RNA polymerase core subunit RPB12|ABC10-alpha|L000001686	ECM35|L000003340	Two-hybrid	physical	Rubbi L (1999)	PUBMED:10531351	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P40422	-	NP_012013	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146290	853843	852786	34106	33157	YKL025C	YGL094C	PAN3	PAN2	ECM35|L000003340	L000003115	Affinity Capture-Western	physical	Brown CE (1996)	PUBMED:8816488	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36102	-	NP_012900	P53010	-	NP_011421	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146291	852786	853843	33157	34106	YGL094C	YKL025C	PAN2	PAN3	L000003115	ECM35|L000003340	Two-hybrid	physical	Brown CE (1996)	PUBMED:8816488	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P53010	-	NP_011421	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146904	852786	853843	33157	34106	YGL094C	YKL025C	PAN2	PAN3	L000003115	ECM35|L000003340	Two-hybrid	physical	Mangus DA (2004)	PUBMED:15169912	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P53010	-	NP_011421	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146905	856912	853843	36918	34106	YER165W	YKL025C	PAB1	PAN3	polyadenylate-binding protein|L000001327	ECM35|L000003340	Two-hybrid	physical	Mangus DA (2004)	PUBMED:15169912	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P04147	-	NP_011092	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146906	853843	853843	34106	34106	YKL025C	YKL025C	PAN3	PAN3	ECM35|L000003340	ECM35|L000003340	Two-hybrid	physical	Mangus DA (2004)	PUBMED:15169912	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36102	-	NP_012900	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
153169	853843	852786	34106	33157	YKL025C	YGL094C	PAN3	PAN2	ECM35|L000003340	L000003115	Co-purification	physical	Brown CE (1996)	PUBMED:8816488	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36102	-	NP_012900	P53010	-	NP_011421	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157134	851457	853843	31961	34106	YDL101C	YKL025C	DUN1	PAN3	serine/threonine protein kinase DUN1|L000000531	ECM35|L000003340	Synthetic Growth Defect	genetic	Hammet A (2002)	PUBMED:11953437	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P39009	-	NP_010182	P36102	-	NP_012900	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
182700	852786	853843	33157	34106	YGL094C	YKL025C	PAN2	PAN3	L000003115	ECM35|L000003340	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53010	-	NP_011421	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
183746	853433	853843	33738	34106	YJL020C	YKL025C	BBC1	PAN3	MTI1|YJL021C	ECM35|L000003340	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47068	-	NP_012514	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
188599	852786	853843	33157	34106	YGL094C	YKL025C	PAN2	PAN3	L000003115	ECM35|L000003340	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53010	-	NP_011421	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
195858	856076	853843	36147	34106	YPL031C	YKL025C	PHO85	PAN3	LDB15|cyclin-dependent serine/threonine-protein kinase PHO85|phoU|L000001431	ECM35|L000003340	Biochemical Activity	physical	Dephoure N (2005)	PUBMED:16330754	559292	559292	Low Throughput	-	No Modification	-	-	BIOGRID	P17157	-	NP_015294	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
195885	855427	853843	35548	34106	YNL289W	YKL025C	PCL1	PAN3	HCS26|L000002783	ECM35|L000003340	Biochemical Activity	physical	Dephoure N (2005)	PUBMED:16330754	559292	559292	Low Throughput	-	No Modification	-	-	BIOGRID	P24867	-	NP_014110	P36102	-	NP_012900	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
256951	853260	853843	33582	34106	YJL179W	YKL025C	PFD1	PAN3	GIM6|L000004367	ECM35|L000003340	Synthetic Lethality	genetic	Ye P (2006)	PUBMED:16729061	559292	559292	High Throughput	-	-	-	-	BIOGRID	P46988	-	NP_012356	P36102	-	NP_012900	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
306609	855836	853843	35923	34106	YPL240C	YKL025C	HSP82	PAN3	HSP90|Hsp90 family chaperone HSP82|L000000822	ECM35|L000003340	Synthetic Growth Defect	genetic	McClellan AJ (2007)	PUBMED:17923092	559292	559292	High Throughput	-	-	A genome-wide chemical-genetic screen was used to identify deletion strains whose growth was negatively affected when Hsp90 function was compromised using the HSP90-inhibiting drug, macbecin II.	-	BIOGRID	P02829	-	NP_015084	P36102	-	NP_012900	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
307315	855224	853843	35364	34106	YMR186W	YKL025C	HSC82	PAN3	HSP90|Hsp90 family chaperone HSC82|L000000813	ECM35|L000003340	Synthetic Growth Defect	genetic	McClellan AJ (2007)	PUBMED:17923092	559292	559292	High Throughput	-	-	A genome-wide chemical-genetic screen was used to identify deletion strains whose growth was negatively affected when Hsp90 function was compromised using the HSP90-inhibiting drug, macbecin II.	-	BIOGRID	P15108	-	NP_013911	P36102	-	NP_012900	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
309676	850897	853843	31469	34106	YLR200W	YKL025C	YKE2	PAN3	GIM1|PFD6|L000002791	ECM35|L000003340	Negative Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	-11.410287	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	P52553	-	NP_013301	P36102	-	NP_012900	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
309677	851136	853843	31676	34106	YLR418C	YKL025C	CDC73	PAN3	L000002792	ECM35|L000003340	Negative Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	-4.668166	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	Q06697	-	NP_013522	P36102	-	NP_012900	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
309678	851485	853843	31987	34106	YDL074C	YKL025C	BRE1	PAN3	E3 ubiquitin-protein ligase BRE1	ECM35|L000003340	Negative Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	-2.938283	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	Q07457	-	NP_010209	P36102	-	NP_012900	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
309679	854879	853843	35049	34106	YML094W	YKL025C	GIM5	PAN3	PFD5|L000004370	ECM35|L000003340	Negative Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	-3.403559	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	Q04493	-	NP_013616	P36102	-	NP_012900	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
