#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
99315	856312	854826	36354	35001	YPR182W	YIR009W	SMX3	MSL1	Sm F|SmF|L000002786	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P54999	-	NP_015508	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99376	852449	854826	32851	35001	YBR152W	YIR009W	SPP381	MSL1	L000004711	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38282	-	NP_009710	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133893	855253	854826	35391	35001	YMR213W	YIR009W	CEF1	MSL1	NTC85|L000004270	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03654	-	NP_013940	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133980	851318	854826	31837	35001	YDL209C	YIR009W	CWC2	MSL1	NTC40	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12046	-	NP_010072	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134849	850623	854826	31217	35001	YLL036C	YIR009W	PRP19	MSL1	PSO4|E3 ubiquitin-protein ligase PRP19|L000001506	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32523	-	NP_013064	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134880	855952	854826	36032	35001	YPL151C	YIR009W	PRP46	MSL1	NTC50	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12417	-	NP_015174	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
135359	856216	854826	36267	35001	YPR101W	YIR009W	SNT309	MSL1	NTC25|L000004269	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06091	-	NP_015426	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
135994	855017	854826	35175	35001	YMR005W	YIR009W	TAF4	MSL1	MPT1|TAF48|TSG2|TafII48|L000001144	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Sanders SL (2002)	PUBMED:12052880	559292	559292	High Throughput	-	-	-	-	BIOGRID	P50105	-	NP_013718	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146359	855888	854826	35972	35001	YPL213W	YIR009W	LEA1	MSL1	-	YIB9|YIB9w|L000004502	Affinity Capture-MS	physical	Caspary F (1999)	PUBMED:10369685	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q08963	-	NP_015111	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146380	855633	854826	35733	35001	YNL091W	YIR009W	NST1	MSL1	-	YIB9|YIB9w|L000004502	Two-hybrid	physical	Goossens A (2002)	PUBMED:11816027	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P53935	-	NP_014308	P40567	-	NP_012274	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
