#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
112074	851965	852963	32418	33315	YDR363W	YGR072W	ESC2	UPF3	L000004423	SUA6|SUP112|L000003057|S000029549|L000002231	Synthetic Lethality	genetic	Tong AH (2004)	PUBMED:14764870	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06340	-	NP_010650	P48412	-	NP_011586	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138591	852963	851752	33315	32225	YGR072W	YDR172W	UPF3	SUP35	SUA6|SUP112|L000003057|S000029549|L000002231	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Affinity Capture-Western	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P48412	-	NP_011586	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140675	852963	851752	33315	32225	YGR072W	YDR172W	UPF3	SUP35	SUA6|SUP112|L000003057|S000029549|L000002231	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Reconstituted Complex	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P48412	-	NP_011586	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142044	856476	852963	36511	33315	YHR077C	YGR072W	NMD2	UPF3	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	SUA6|SUP112|L000003057|S000029549|L000002231	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P48412	-	NP_011586	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142045	852963	856476	33315	36511	YGR072W	YHR077C	UPF3	NMD2	SUA6|SUP112|L000003057|S000029549|L000002231	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P48412	-	NP_011586	P38798	-	NP_011944	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
143071	852963	855104	33315	35256	YGR072W	YMR080C	UPF3	NAM7	SUA6|SUP112|L000003057|S000029549|L000002231	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P48412	-	NP_011586	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
144297	856476	852963	36511	33315	YHR077C	YGR072W	NMD2	UPF3	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	SUA6|SUP112|L000003057|S000029549|L000002231	Two-hybrid	physical	Weng Y (1996)	PUBMED:8816462	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P48412	-	NP_011586	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
155853	852963	856476	33315	36511	YGR072W	YHR077C	UPF3	NMD2	SUA6|SUP112|L000003057|S000029549|L000002231	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	Dosage Rescue	genetic	Shirley RL (2002)	PUBMED:12196393	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P48412	-	NP_011586	P38798	-	NP_011944	APO:0000094	metabolism and growth	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
156183	854016	852963	34268	33315	YOL149W	YGR072W	DCP1	UPF3	MRT2|L000002960|L000003045|S000029311	SUA6|SUP112|L000003057|S000029549|L000002231	Phenotypic Enhancement	genetic	He F (2001)	PUBMED:11238889	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12517	-	NP_014492	P48412	-	NP_011586	APO:0000094	metabolism and growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
160428	853311	852963	33626	33315	YJL130C	YGR072W	URA2	UPF3	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase|L000002431	SUA6|SUP112|L000003057|S000029549|L000002231	Synthetic Rescue	genetic	Messenguy F (2002)	PUBMED:12172963	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P07259	-	NP_012405	P48412	-	NP_011586	APO:0000087|APO:0000022	resistance to chemicals|protein activity	phenotype|phenotype	-|-	-|-	wild type|wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
160429	855119	852963	35269	33315	YMR094W	YGR072W	CTF13	UPF3	CBF3C|L000000429	SUA6|SUP112|L000003057|S000029549|L000002231	Synthetic Rescue	genetic	Dahlseid JN (1998)	PUBMED:9799255	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35203	-	NP_013812	P48412	-	NP_011586	APO:0000147	heat sensitivity	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
