"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RNaseA","RNaseA","RNaseA",13,13,13,82,16.461,150,29.476069411158,27.952492965483,29.3794783180663,29.9706246904108,35.6892190070614,34.5837973530897,35.2860934587735,35.6067813553546,35.8980740212299,35.8858330498041,36.103624886296,35.4430741651167,29.476069411158,27.952492965483,29.3794783180663,29.9706246904108,35.6892190070614,34.5837973530897,35.2860934587735,35.6067813553546,35.8980740212299,35.8858330498041,36.103624886296,35.4430741651167,29.1946663462795,35.2914727935698,35.8326515306117,4,4,4,8.54273806730796e-05,0.122315595106377,4.0684029095292,0.912518167355708,-6.09680644729032,-0.541178737041861,FALSE,FALSE
"EFB1","YAL003W","EFB1",4,4,4,32,22.627,206,22.9128184519461,22.3870601899526,22.3502442822671,22.309330906379,23.9845060766323,24.4087277805108,23.351781459935,23.7359319522036,24.0296006522847,24.373914964368,24.5237863834369,25.4926197059283,22.9128184519461,22.3870601899526,22.3502442822671,22.309330906379,23.9845060766323,24.4087277805108,23.351781459935,23.7359319522036,24.0296006522847,24.373914964368,24.5237863834369,25.4926197059283,22.4898634576362,23.8702368173204,24.6049804265045,4,4,4,0.00314485964114826,0.109537460597238,2.50239873286897,0.960437331522901,-1.3803733596842,-0.734743609184068,FALSE,FALSE
"SSA1","YAL005C","SSA1",24,23,8,58.9,69.656,642,30.5755149247213,29.6924381834397,30.3998871398818,29.9981959784194,29.4290611843684,29.3455983662107,29.7564477765116,29.5691172336679,29.0084643138732,28.9670550206163,29.2497498126478,28.7217215436181,30.5755149247213,29.6924381834397,30.3998871398818,29.9981959784194,29.4290611843684,29.3455983662107,29.7564477765116,29.5691172336679,29.0084643138732,28.9670550206163,29.2497498126478,28.7217215436181,30.1665090566155,29.5250561401896,28.9867476726889,4,4,4,0.040254704651584,0.00922907137832887,1.39518335542479,2.03484199513405,0.641452916425905,0.538308467500766,FALSE,FALSE
"CYS3","YAL012W","CYS3",2,2,2,6.3,42.542,394,23.5406142999997,NA,NA,23.3813940286976,NA,NA,NA,NA,NA,NA,NA,NA,23.5406142999997,20.476823392378,21.5807039963245,23.3813940286976,20.5538704651252,19.7823144935125,19.9999529000004,20.5838881387276,21.8019010836769,21.512498543939,21.172384989446,20.9643156941469,22.2448839293499,20.2300064993414,21.3627750778022,2,0,0,0.0676528876568652,0.00609402847563828,1.16971366149537,2.21509552077569,2.01487743000852,-1.13276857846076,FALSE,NA
"CDC19","YAL038W","CDC19",15,15,15,45.8,54.544,500,30.2453585947679,28.7032891156334,30.0073151073851,30.0012868450425,28.7122723632918,28.3637763771871,28.7043120111253,28.373890079804,28.0826358617666,27.9682367354016,28.3772042407236,28.4552089305898,30.2453585947679,28.7032891156334,30.0073151073851,30.0012868450425,28.7122723632918,28.3637763771871,28.7043120111253,28.373890079804,28.0826358617666,27.9682367354016,28.3772042407236,28.4552089305898,29.7393124157072,28.538562707852,28.2208214421204,4,4,4,0.0368706264967206,0.0830346092346158,1.43331948290495,1.08074085380745,1.20074970785518,0.317741265731623,FALSE,FALSE
"HTB1","YDR224C;YBL002W","HTB1",5,5,5,58,14.252,131,24.2135634871273,25.9717157949139,24.0673496677944,24.5218112773868,26.2616787464537,27.9601377215209,26.3114667328489,26.4069453349605,26.6427881262185,26.1303573609794,26.4670305898334,26.4904484227996,24.2135634871273,25.9717157949139,24.0673496677944,24.5218112773868,26.2616787464537,27.9601377215209,26.3114667328489,26.4069453349605,26.6427881262185,26.1303573609794,26.4670305898334,26.4904484227996,24.6936100568056,26.735057133946,26.4326561249577,4,4,4,0.0143874841048757,0.520906162415574,1.84201514316535,0.283240504753426,-2.0414470771404,0.302401008988255,FALSE,FALSE
"HTA1","YDR225W;YBL003C","HTA1",2,2,2,32.6,13.989,132,NA,NA,NA,NA,25.448529229223,26.8580424805802,25.4186689821487,25.417928981777,25.7048264843519,26.0684776786453,26.2959308851004,25.9579038821041,20.7514018525376,20.4568721580429,21.4796054293883,20.5189532170459,25.448529229223,26.8580424805802,25.4186689821487,25.417928981777,25.7048264843519,26.0684776786453,26.2959308851004,25.9579038821041,20.8017081642537,25.7857924184322,26.0067847325504,0,4,4,6.49906707104377e-05,0.592579388332695,4.18714898104587,0.227253458642421,-4.98408425417856,-0.220992314118178,FALSE,FALSE
"RPL19A","YBR084C-A;YBL027W","RPL19A",5,5,5,33.9,21.704,189,25.3308080356964,24.0278304223826,25.3882761704457,25.3528255366522,27.1680611877055,25.9869377808647,26.3394481275007,26.2577463493739,27.3292859798455,27.1581734297202,27.2492525108723,27.8945223969512,25.3308080356964,24.0278304223826,25.3882761704457,25.3528255366522,27.1680611877055,25.9869377808647,26.3394481275007,26.2577463493739,27.3292859798455,27.1581734297202,27.2492525108723,27.8945223969512,25.0249350412942,26.4380483613612,27.4078085793473,4,4,4,0.0165654586881843,0.0232381213553456,1.7807965342469,1.63379898462875,-1.41311332006699,-0.969760217986138,FALSE,FALSE
"PET9","YBL030C;YBR085W","PET9",3,3,3,9.7,34.426,318,21.5630919758031,21.8508323671299,NA,21.4544780287871,NA,22.1695605050549,NA,NA,NA,NA,NA,NA,21.5630919758031,21.8508323671299,21.4937929996046,21.4544780287871,20.5456220945983,22.1695605050549,20.3073676127867,20.6168993430772,21.6999761994891,21.2361768636046,20.6922503219259,20.917785173337,21.5905488428312,20.9098623888793,21.1365471395892,3,1,0,0.207784520209462,0.657480395560985,0.682386810186092,0.182117192232301,0.680686453951907,-0.226684750709893,FALSE,NA
"URA7","YBL039C","URA7",5,5,5,13.8,64.71,579,21.6486911105019,22.5813909339544,NA,21.8488475494471,NA,22.4842161511195,21.7263379176378,NA,NA,NA,NA,NA,21.6486911105019,22.5813909339544,21.5448630243816,21.8488475494471,20.731380702498,22.4842161511195,21.7263379176378,20.638111559232,21.8475061447554,21.5366843949311,20.493969939842,20.2282103106655,21.9059481545712,21.3950115826218,21.0265926975485,3,2,0,0.355260012706836,0.555010920674672,0.449453673000638,0.255698471396085,0.510936571949404,0.368418885073329,FALSE,FALSE
