"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF011","YAL012W","Gene3D","G3DSA:3.40.640.10","-","Pyridoxal phosphate-dependent transferase, major domain",1,73,5,515,0.551533194976193,1.41002826628374,0.607976650602412
"YAF011","YAL012W","Gene3D","G3DSA:3.90.1150.10","Aspartate Aminotransferase","Pyridoxal phosphate-dependent transferase domain 1",1,73,4,516,0.487093304545588,1.76504468284747,0.551453981422483
"YAF011","YBL026W;YDR378C;YER029C;YER112W;YER146W;YJL124C;YJR022W;YLR275W;YLR438C-A;YNL147W","Gene3D","G3DSA:2.30.30.100","-","-",10,64,12,508,9.40328827104073e-05,6.57764366389382,0.023633597854549
"YAF011","YBL068W;YHL011C","Gene3D","G3DSA:3.40.50.2020","-","Phosphoribosyltransferase-like",2,72,5,515,0.212894995264339,2.8538963133676,0.422302072470862
"YAF011","YBR055C","Gene3D","G3DSA:1.25.40.10","-","Tetratricopeptide-like helical domain superfamily",1,73,10,510,0.771655756624641,0.699000742725862,0.790527772411656
"YAF011","YBR072W","Gene3D","G3DSA:2.60.40.790","-","HSP20-like chaperone",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YBR079C","Gene3D","G3DSA:1.25.40.860","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YBR079C","Gene3D","G3DSA:4.10.860.10","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YBR143C","Gene3D","G3DSA:3.30.1330.30","-","50S ribosomal protein L30e-like",1,73,5,515,0.551533194976193,1.41002826628374,0.607976650602412
"YAF011","YBR143C","Gene3D","G3DSA:3.30.420.60","-","eRF1, domain 2 superfamily",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YBR143C","Gene3D","G3DSA:3.30.960.10","Translation","Peptide Chain Release Factor eRF1/aRF1, N-terminal",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YBR146W;YKL173W","Gene3D","G3DSA:3.30.230.10","-","Ribosomal protein S5 domain 2-type fold, subgroup",2,72,6,514,0.262027340537695,2.37499444816592,0.423027593238079
"YAF011","YBR244W","Gene3D","G3DSA:3.40.30.10","Glutaredoxin","Thioredoxin-like superfamily",1,73,8,512,0.700657966667596,0.876868974777958,0.727680587971581
"YAF011","YCL050C","Gene3D","G3DSA:3.30.428.70","-","ATP adenylyltransferase-like",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDL098C","Gene3D","G3DSA:3.30.160.60","Classic Zinc Finger","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDL147W","Gene3D","G3DSA:1.10.10.10","winged helix repressor DNA binding domain","Winged helix-like DNA-binding domain superfamily",1,73,6,514,0.607972894928169,1.17316861490497,0.65863730283885
"YAF011","YDL182W","Gene3D","G3DSA:1.10.238.260","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDL182W;YKL182W","Gene3D","G3DSA:3.20.20.70","Aldolase class I","Aldolase-type TIM barrel",2,72,10,510,0.452835492289234,1.41572279768579,0.523677854579881
"YAF011","YDL185W","Gene3D","G3DSA:1.10.1140.10","-","ATPase, F1/V1 complex, beta/alpha subunit, C-terminal",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YDL185W","Gene3D","G3DSA:2.170.16.10","Hedgehog/intein (Hint) domain","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDL185W","Gene3D","G3DSA:2.40.30.20","-","ATP synthase subunit alpha, N-terminal domain-like superfamily",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YDL185W","Gene3D","G3DSA:2.40.50.100","-","-",1,73,3,517,0.413536917988172,2.35604071665544,0.484172105843295
"YAF011","YDL185W","Gene3D","G3DSA:3.10.28.10","Homing endonucleases","Homing endonuclease",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDR033W","Gene3D","G3DSA:1.20.1070.10","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDR212W","Gene3D","G3DSA:1.10.560.10","GROEL","GroEL-like equatorial domain superfamily",1,73,8,512,0.700657966667596,0.876868974777958,0.727680587971581
"YAF011","YDR212W","Gene3D","G3DSA:3.50.7.10","GroEL","GroEL-like apical domain superfamily",1,73,8,512,0.700657966667596,0.876868974777958,0.727680587971581
"YAF011","YDR337W","Gene3D","G3DSA:1.10.287.10","-","-",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YDR375C;YER172C;YFR009W;YJL050W;YKL173W","Gene3D","G3DSA:3.40.50.300","-","-",5,69,67,453,0.963751487321337,0.490433534891027,0.966314656170596
"YAF011","YDR423C","Gene3D","G3DSA:1.10.238.100","YAP1 redox domain. Chain B","Yap1 redox domain superfamily",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YDR423C","Gene3D","G3DSA:1.20.5.170","-","-",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YER172C","Gene3D","G3DSA:1.10.10.2530","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YER172C","Gene3D","G3DSA:1.10.150.20","5' to 3' exonuclease","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YER172C","Gene3D","G3DSA:1.10.3380.10","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YER172C","Gene3D","G3DSA:2.60.40.150","-","C2 domain superfamily",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YGL009C","Gene3D","G3DSA:3.20.19.10","Aconitase","Aconitase/3-isopropylmalate dehydratase, swivel",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YGL009C","Gene3D","G3DSA:3.30.499.10","Aconitase","Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YGL009C","Gene3D","G3DSA:3.30.499.20","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YGR091W","Gene3D","G3DSA:1.10.246.90","-","Nop, C-terminal domain",1,73,3,517,0.413536917988172,2.35604071665544,0.484172105843295
"YAF011","YGR234W","Gene3D","G3DSA:1.10.490.10","Globins","Globin/Protoglobin",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YGR234W;YKL173W","Gene3D","G3DSA:2.40.30.10","Translation factors","-",2,72,9,511,0.407200434845146,1.57573042062422,0.484172105843295
"YAF011","YGR234W","Gene3D","G3DSA:3.40.50.80","-","Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YGR240C","Gene3D","G3DSA:3.10.180.90","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YGR240C","Gene3D","G3DSA:3.40.50.450","-","-",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YGR240C","Gene3D","G3DSA:3.40.50.460","-","-",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YGR254W","Gene3D","G3DSA:3.20.20.120","Enolase superfamily","Enolase-like, C-terminal domain superfamily",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YGR254W","Gene3D","G3DSA:3.30.390.10","-","Enolase-like, N-terminal",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YHR165C","Gene3D","G3DSA:1.20.58.1750","-","Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding domain superfamily",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YHR165C","Gene3D","G3DSA:1.20.80.40","-","Prp8 RNase domain IV, fingers region",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YHR165C","Gene3D","G3DSA:3.30.420.230","-","Prp8 RNase domain IV, palm region",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YHR165C","Gene3D","G3DSA:3.40.140.10","Cytidine Deaminase","-",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YHR165C","Gene3D","G3DSA:3.90.1570.40","-","-",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
"YAF011","YHR214C-B","Gene3D","G3DSA:3.30.420.10","-","Ribonuclease H superfamily",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YIL051C","Gene3D","G3DSA:3.30.1330.40","-","RutC-like superfamily",1,73,2,518,0.329594426559013,3.53611243812923,0.423763065600051
"YAF011","YIL053W","Gene3D","G3DSA:1.10.150.240","Putative phosphatase; domain 2","Phosphoglycolate phosphatase-like, domain 2",1,73,1,519,0.23382220178173,7.06811050072766,0.422302072470862
