#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
96749	855104	855104	35256	35256	YMR080C	YMR080C	NAM7	NAM7	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97754	853318	855104	33632	35256	YJL124C	YMR080C	LSM1	NAM7	SPB8|L000004427	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47017	-	NP_012411	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98554	855716	855104	35810	35256	YNL016W	YMR080C	PUB1	NAM7	RNP1|L000001529	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32588	-	NP_014382	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
112092	851965	855104	32418	35256	YDR363W	YMR080C	ESC2	NAM7	L000004423	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Synthetic Lethality	genetic	Tong AH (2004)	PUBMED:14764870	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06340	-	NP_010650	P30771	-	NP_013797	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137092	853997	855104	34252	35256	YOL123W	YMR080C	HRP1	NAM7	NAB4|NAB5|L000003337|L000003022|L000003015	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Affinity Capture-Western	physical	Gonzalez CI (2000)	PUBMED:10882134	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99383	-	NP_014518	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138589	855104	851752	35256	32225	YMR080C	YDR172W	NAM7	SUP35	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Affinity Capture-Western	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140267	853997	855104	34252	35256	YOL123W	YMR080C	HRP1	NAM7	NAB4|NAB5|L000003337|L000003022|L000003015	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Reconstituted Complex	physical	Gonzalez CI (2000)	PUBMED:10882134	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99383	-	NP_014518	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140672	855104	854243	35256	34475	YMR080C	YOR076C	NAM7	SKI7	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	YOR29-27	Reconstituted Complex	physical	Takahashi S (2003)	PUBMED:12881429	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	Q08491	-	NP_014719	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140673	855104	851752	35256	32225	YMR080C	YDR172W	NAM7	SUP35	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	Reconstituted Complex	physical	Wang W (2001)	PUBMED:11179232	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P30771	-	NP_013797	P05453	-	NP_010457	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142038	856476	855104	36511	35256	YHR077C	YMR080C	NMD2	NAM7	IFS1|SUA1|SUP111|UPF2|L000001257|S000029548|L000002230	IFS2|MOF4|SUP113|UPF1|ATP-dependent RNA helicase NAM7|L000002429|S000029550|L000002232	Two-hybrid	physical	He F (1997)	PUBMED:9032286	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38798	-	NP_011944	P30771	-	NP_013797	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
